Strike,contractSymbol,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
135.0,AAPL231020C00135000,USD,62.28,0.0,0.0,18,409,61.2,61.55,REGULAR,1697760000,1689795209,0.5216112292480468,True
140.0,AAPL231020C00140000,USD,57.95,0.5699997,0.9933769,1,849,56.35,56.6,REGULAR,1697760000,1689860475,0.49670913452148446,True
145.0,AAPL231020C00145000,USD,52.78,0.0,0.0,35,1846,51.65,51.95,REGULAR,1697760000,1689794912,0.47803256347656253,True
150.0,AAPL231020C00150000,USD,46.9,-0.3199997,-0.6776783,30,2527,46.75,47.05,REGULAR,1697760000,1689865017,0.4417780432128906,True
155.0,AAPL231020C00155000,USD,41.66,-1.2700005,-2.9583054,2,4175,41.95,42.05,REGULAR,1697760000,1689864007,0.4002135174560547,True
160.0,AAPL231020C00160000,USD,37.42,-0.63000107,-1.655719,9,6427,37.1,37.5,REGULAR,1697760000,1689863425,0.3813538427734374,True
165.0,AAPL231020C00165000,USD,33.1,-0.20000076,-0.6006029,2,4251,32.6,32.8,REGULAR,1697760000,1689862819,0.35242346801757807,True
170.0,AAPL231020C00170000,USD,28.87,0.22000122,0.7678926,302,7126,27.8,28.3,REGULAR,1697760000,1689860968,0.32923034057617184,True
175.0,AAPL231020C00175000,USD,23.49,-0.87000084,-3.5714319,3,9102,23.5,23.95,REGULAR,1697760000,1689864702,0.30750204223632804,True
180.0,AAPL231020C00180000,USD,19.15,-0.8999996,-4.488776,72,9396,19.25,19.45,REGULAR,1697760000,1689865269,0.2766185620117187,True
185.0,AAPL231020C00185000,USD,15.55,-0.6999998,-4.3076916,340,11387,15.35,15.55,REGULAR,1697760000,1689864831,0.25891854370117195,True
190.0,AAPL231020C00190000,USD,12.05,-0.5500002,-4.365081,218,16250,11.9,12.0,REGULAR,1697760000,1689865014,0.2430190444946289,True
195.0,AAPL231020C00195000,USD,8.95,-0.5,-5.2910056,538,17031,8.9,9.0,REGULAR,1697760000,1689865139,0.23206334350585936,False
200.0,AAPL231020C00200000,USD,6.25,-0.4499998,-6.7164154,1533,21480,6.25,6.3,REGULAR,1697760000,1689865112,0.2178422943115234,False
205.0,AAPL231020C00205000,USD,4.2,-0.3000002,-6.666671,406,32701,4.2,4.25,REGULAR,1697760000,1689865385,0.20838193969726557,False
210.0,AAPL231020C00210000,USD,2.73,-0.22000003,-7.4576283,1401,20274,2.67,2.69,REGULAR,1697760000,1689865499,0.19959296508789062,False
215.0,AAPL231020C00215000,USD,1.6,-0.26,-13.978495,469,8570,1.64,1.67,REGULAR,1697760000,1689865282,0.19507640869140624,False
220.0,AAPL231020C00220000,USD,0.96,-0.17000002,-15.04425,305,7408,0.96,0.99,REGULAR,1697760000,1689864686,0.19129226684570313,False
225.0,AAPL231020C00225000,USD,0.55,-0.14999998,-21.42857,176,4608,0.58,0.6,REGULAR,1697760000,1689863927,0.19117019775390626,False
230.0,AAPL231020C00230000,USD,0.35,-0.06999999,-16.666664,146,7129,0.35,0.36,REGULAR,1697760000,1689865044,0.19178054321289065,False
235.0,AAPL231020C00235000,USD,0.23,-0.049999997,-17.857141,293,1597,0.23,0.24,REGULAR,1697760000,1689864100,0.19654123779296873,False
240.0,AAPL231020C00240000,USD,0.16,-0.040000007,-20.000004,492,3863,0.16,0.17,REGULAR,1697760000,1689865022,0.20313296874999998,False
245.0,AAPL231020C00245000,USD,0.13,-0.02000001,-13.33334,61,4674,0.12,0.13,REGULAR,1697760000,1689865159,0.21094539062499998,False
250.0,AAPL231020C00250000,USD,0.11,0.0,0.0,54,2964,0.1,0.11,REGULAR,1697760000,1689865541,0.22168747070312497,False
255.0,AAPL231020C00255000,USD,0.09,-0.03999999,-30.769226,1,471,0.08,0.09,REGULAR,1697760000,1689782780,0.2304764453125,False
260.0,AAPL231020C00260000,USD,0.08,0.0,0.0,16,416,0.06,0.07,REGULAR,1697760000,1689793720,0.23731231445312498,False
265.0,AAPL231020C00265000,USD,0.06,0.0,0.0,1,158,0.05,0.07,REGULAR,1697760000,1689862307,0.2500075,False
270.0,AAPL231020C00270000,USD,0.06,0.0,0.0,3,431,0.05,0.06,REGULAR,1697760000,1689787224,0.25879647460937505,False
275.0,AAPL231020C00275000,USD,0.05,-0.009999998,-16.666664,3,450,0.04,0.05,REGULAR,1697760000,1689862530,0.26563234375,False
280.0,AAPL231020C00280000,USD,0.05,0.0,0.0,20,1057,0.04,0.05,REGULAR,1697760000,1689786640,0.27735097656249996,False
285.0,AAPL231020C00285000,USD,0.05,0.0,0.0,1590,1067,0.03,0.05,REGULAR,1697760000,1689787126,0.29004616210937495,False
290.0,AAPL231020C00290000,USD,0.03,-0.01,-25.0,1,472,0.03,0.04,REGULAR,1697760000,1689861075,0.29492892578124996,False
295.0,AAPL231020C00295000,USD,0.03,-0.01,-25.0,7,634,0.02,0.04,REGULAR,1697760000,1689863242,0.304694453125,False
